gender,age,senior_citizen,dependents,number_of_dependents,married,city,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,satisfaction_score,cltv,customer_status,churn_score,churn_value,churn_category,churn_reason
Male,23,No,No,0,No,Stevinson,Yes,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),79.95,40.06,1043.4,0.0,0,480.72,1524.12,12,No,41,Yes,No Offer,No,0,5,2968,Stayed,71,0,Not Applicable,
Female,31,No,No,0,No,Chilcoot,Yes,Yes,Yes,Yes,No,No,No,No,No,DSL,One Year,No,Mailed check,55.0,43.17,1885.15,0.0,0,1467.78,3352.93,34,No,8,Yes,Offer C,No,0,4,4027,Stayed,46,0,Not Applicable,
Female,27,No,No,0,Yes,La Quinta,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,DSL,Month-to-Month,Yes,Electronic check,79.2,13.11,1742.75,0.0,0,288.42,2031.17,22,Yes,51,Yes,No Offer,Yes,1,1,3410,Churned,91,1,Dissatisfaction,Product dissatisfaction
Female,37,No,No,0,No,Keene,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),85.9,24.63,1269.55,0.0,0,369.45,1639.0,15,No,13,Yes,No Offer,No,0,3,3579,Churned,96,1,Other,Don't know
Female,61,No,No,0,Yes,Death Valley,Yes,Yes,No,No,No,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),78.85,39.97,3126.85,0.0,0,1598.8,4725.65,40,Yes,17,Yes,No Offer,Yes,10,4,5257,Stayed,45,0,Not Applicable,
Female,22,No,No,0,Yes,Hume,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),94.45,22.74,6921.7,0.0,0,1637.28,8558.98,72,Yes,48,Yes,Offer A,Yes,5,4,5274,Stayed,43,0,Not Applicable,
Female,57,No,No,0,Yes,Wilton,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,DSL,Two Year,Yes,Electronic check,49.2,0.0,3580.95,0.0,0,0.0,3580.95,72,No,15,Yes,Offer A,Yes,2,3,4700,Stayed,33,0,Not Applicable,
Female,60,No,No,0,No,San Leandro,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,DSL,Two Year,No,Mailed check,73.55,44.29,3349.1,0.0,0,1993.05,5342.15,45,Yes,15,Yes,Offer B,No,0,3,2280,Stayed,56,0,Not Applicable,
Male,47,No,Yes,1,Yes,San Rafael,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,No,Bank transfer (automatic),111.95,24.08,8033.1,0.0,0,1733.76,9766.86,72,No,19,Yes,No Offer,Yes,9,3,4004,Stayed,25,0,Not Applicable,
Female,38,No,No,0,Yes,Sunnyvale,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,No,Credit card (automatic),89.3,19.9,6388.65,0.0,0,1412.9,7801.55,71,Yes,27,Yes,Offer A,Yes,7,3,4658,Stayed,30,0,Not Applicable,
Male,74,Yes,No,0,Yes,Los Angeles,Yes,Yes,Yes,No,No,No,No,Yes,No,DSL,Two Year,Yes,Credit card (automatic),59.1,5.73,1011.05,31.05,0,103.14,1083.14,18,No,13,Yes,No Offer,Yes,6,3,2422,Stayed,30,0,Not Applicable,
Female,40,No,No,0,Yes,Rodeo,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Cable,Month-to-Month,Yes,Electronic check,85.3,44.26,4045.65,0.0,0,2080.22,6125.87,47,No,23,Yes,No Offer,Yes,1,2,3631,Churned,90,1,Other,Don't know
Female,65,Yes,Yes,1,Yes,Los Angeles,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,DSL,Two Year,Yes,Electronic check,53.0,0.0,3656.25,0.0,0,0.0,3656.25,68,No,23,Yes,No Offer,Yes,4,4,5583,Stayed,31,0,Not Applicable,
Female,52,No,No,0,No,Greenbrae,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,DSL,Two Year,Yes,Electronic check,80.65,20.3,5330.2,0.0,90,1380.4,6800.6,68,Yes,13,No,No Offer,No,0,3,5914,Stayed,70,0,Not Applicable,
Male,25,No,No,0,No,Dublin,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,84.85,36.07,84.85,0.0,0,36.07,120.92,1,No,41,Yes,No Offer,No,0,1,3086,Churned,77,1,Competitor,Competitor had better devices
Female,59,No,No,0,Yes,Caruthers,Yes,Yes,Yes,No,No,Yes,No,No,No,DSL,Month-to-Month,Yes,Bank transfer (automatic),60.85,12.3,2003.6,0.0,0,418.2,2421.8,34,Yes,26,Yes,No Offer,Yes,5,4,3012,Stayed,73,0,Not Applicable,
Female,24,No,No,0,Yes,Julian,Yes,Yes,No,No,Yes,No,No,No,Yes,Fiber Optic,Month-to-Month,Yes,Mailed check,79.65,44.93,1928.7,0.0,0,1078.32,3007.02,24,Yes,82,Yes,No Offer,Yes,2,4,3816,Stayed,72,0,Not Applicable,
Male,71,Yes,Yes,1,Yes,Colusa,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Fiber Optic,One Year,Yes,Bank transfer (automatic),89.85,18.43,5125.75,0.0,130,1068.94,6324.69,58,Yes,10,No,Offer B,Yes,1,3,5035,Stayed,58,0,Not Applicable,
Male,75,Yes,No,0,No,Clovis,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,84.8,39.51,546.95,0.0,0,276.57,823.52,7,Yes,13,No,No Offer,No,0,3,2015,Churned,70,1,Competitor,Competitor made better offer
Male,58,No,No,0,No,Carmel,Yes,Yes,No,Yes,No,No,No,No,No,DSL,Month-to-Month,No,Electronic check,50.8,1.28,50.8,0.0,0,1.28,52.08,1,No,27,Yes,Offer E,No,0,1,3718,Churned,85,1,Competitor,Competitor had better devices
Male,56,No,No,0,No,Aguanga,Yes,Yes,Yes,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Mailed check,51.0,34.49,354.05,0.0,0,241.43,595.48,7,No,22,Yes,No Offer,No,0,1,3736,Churned,90,1,Attitude,Attitude of service provider
Female,66,Yes,No,0,Yes,Somes Bar,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Fiber Optic,Two Year,No,Electronic check,90.0,15.6,3371.75,0.0,0,577.2,3948.95,37,No,19,Yes,No Offer,Yes,8,4,4048,Stayed,62,0,Not Applicable,
Male,34,No,Yes,1,Yes,Grass Valley,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,24.55,29.55,1331.05,0.0,0,1536.6,2867.65,52,Yes,0,No,Offer B,Yes,6,3,5535,Stayed,28,0,Not Applicable,
Female,42,No,Yes,2,Yes,Escondido,Yes,No,No,No,No,No,No,No,No,No,Two Year,Yes,Bank transfer (automatic),20.0,21.73,886.4,0.0,0,977.85,1864.25,45,No,0,No,No Offer,Yes,9,4,5169,Stayed,71,0,Not Applicable,
Male,60,No,Yes,2,Yes,Costa Mesa,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,24.25,2.81,1077.95,0.0,0,120.83,1198.78,43,Yes,0,No,No Offer,Yes,4,4,4432,Stayed,51,0,Not Applicable,
Female,23,No,Yes,3,Yes,San Jose,Yes,Yes,Yes,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Electronic check,81.95,42.95,2070.05,0.0,0,1116.7,3186.75,26,No,27,Yes,No Offer,Yes,10,3,2817,Stayed,72,0,Not Applicable,
Male,62,No,No,0,No,Sultana,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,No,Electronic check,98.6,10.99,5581.05,0.0,0,615.44,6196.49,56,Yes,28,Yes,Offer B,No,0,3,5601,Stayed,58,0,Not Applicable,
Female,40,No,No,0,No,Willow Creek,No,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),25.25,0.0,25.25,0.0,10,0.0,35.25,1,No,15,No,Offer E,No,0,5,4831,Joined,28,0,Not Applicable,
Female,36,No,Yes,2,Yes,Rio Nido,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,No,Bank transfer (automatic),85.3,25.16,5560.0,0.0,0,1710.88,7270.88,68,Yes,26,Yes,No Offer,Yes,1,4,4732,Stayed,43,0,Not Applicable,
Male,25,No,No,0,Yes,Brea,No,Yes,No,Yes,Yes,No,No,Yes,Yes,DSL,One Year,Yes,Credit card (automatic),45.85,0.0,1246.4,0.0,30,0.0,1276.4,27,No,27,No,No Offer,Yes,3,4,2068,Stayed,49,0,Not Applicable,
Male,35,No,No,0,No,La Mesa,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,85.5,11.5,791.7,0.0,0,103.5,895.2,9,Yes,14,Yes,Offer E,No,0,5,4867,Stayed,69,0,Not Applicable,
Male,59,No,No,0,No,Los Angeles,Yes,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Mailed check,45.15,35.53,438.4,0.0,0,284.24,722.64,8,No,5,Yes,No Offer,No,0,2,3721,Churned,91,1,Other,Don't know
Female,49,No,No,0,No,Modesto,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit card (automatic),19.4,2.85,19.4,0.0,0,2.85,22.25,1,No,0,No,No Offer,No,0,3,5566,Joined,21,0,Not Applicable,
Male,41,No,Yes,1,Yes,Fountain Valley,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),116.05,26.38,8297.5,42.57,110,1872.98,10237.91,71,Yes,18,No,Offer A,Yes,5,3,6481,Stayed,62,0,Not Applicable,
Female,47,No,No,0,No,Santa Rosa,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank transfer (automatic),19.4,33.14,289.3,0.0,0,497.1,786.4,15,No,0,No,Offer D,No,0,1,5379,Churned,87,1,Price,Long distance charges
Female,38,No,No,0,Yes,Piru,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Fiber Optic,Two Year,No,Bank transfer (automatic),93.9,5.48,6579.05,0.0,0,383.6,6962.65,70,Yes,14,Yes,Offer A,Yes,1,1,6173,Churned,95,1,Price,Long distance charges
Female,39,No,No,0,Yes,Covelo,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Credit card (automatic),85.9,10.87,6110.75,0.0,0,782.64,6893.39,72,Yes,24,Yes,No Offer,Yes,9,4,6361,Stayed,72,0,Not Applicable,
Female,22,No,No,0,No,Monterey Park,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),99.15,6.12,1956.4,0.0,0,128.52,2084.92,21,No,51,Yes,Offer D,No,0,3,5324,Stayed,36,0,Not Applicable,
Female,45,No,No,0,No,Pleasanton,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,20.1,26.25,1079.45,0.0,0,1417.5,2496.95,54,No,0,No,Offer B,No,0,5,5755,Stayed,57,0,Not Applicable,
Female,19,No,Yes,2,Yes,Blairsden Graeagle,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,19.5,13.21,162.15,0.0,0,105.68,267.83,8,No,0,No,No Offer,Yes,10,5,3598,Stayed,58,0,Not Applicable,
Female,34,No,No,0,No,Homewood,Yes,Yes,No,No,Yes,No,No,No,No,DSL,Month-to-Month,Yes,Credit card (automatic),49.3,4.82,1233.25,0.0,0,115.68,1348.93,24,No,16,Yes,No Offer,No,0,5,5394,Stayed,66,0,Not Applicable,
Female,20,No,Yes,2,Yes,Madera,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,19.55,13.26,883.35,0.0,0,636.48,1519.83,48,No,0,No,Offer B,Yes,3,5,5461,Stayed,68,0,Not Applicable,
Female,22,No,No,0,Yes,Van Nuys,Yes,Yes,No,No,No,No,Yes,No,Yes,DSL,Month-to-Month,No,Mailed check,55.2,35.6,55.2,0.0,0,35.6,90.8,1,No,58,Yes,No Offer,No,0,2,3638,Churned,81,1,Dissatisfaction,Poor expertise of online support
Female,41,No,Yes,3,Yes,Salton City,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed check,24.3,6.7,132.25,0.0,0,33.5,165.75,5,Yes,0,No,No Offer,Yes,6,5,3181,Stayed,20,0,Not Applicable,
Male,20,No,Yes,2,Yes,Grass Valley,No,Yes,Yes,No,Yes,No,Yes,No,No,DSL,One Year,No,Credit card (automatic),44.45,0.0,792.15,0.0,0,0.0,792.15,17,No,52,Yes,No Offer,Yes,1,3,3522,Stayed,73,0,Not Applicable,
Male,48,No,No,0,Yes,Santa Ana,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),79.35,29.8,5753.25,0.0,40,2145.6,7938.85,72,No,14,No,No Offer,Yes,2,3,4278,Stayed,55,0,Not Applicable,
Female,30,No,Yes,2,Yes,Amboy,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Credit card (automatic),103.2,29.66,7362.9,45.38,0,2135.52,9453.04,72,Yes,59,Yes,No Offer,Yes,4,4,5560,Stayed,71,0,Not Applicable,
Female,75,Yes,No,0,No,Thousand Palms,No,Yes,No,No,No,No,Yes,Yes,Yes,DSL,Month-to-Month,Yes,Electronic check,44.4,0.0,263.05,0.0,0,0.0,263.05,6,No,24,Yes,No Offer,No,0,5,4611,Stayed,71,0,Not Applicable,
Female,21,No,No,0,Yes,Badger,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL,Two Year,No,Credit card (automatic),79.2,22.41,5401.9,0.0,20,1613.52,7035.42,72,Yes,59,No,Offer A,Yes,9,4,4288,Stayed,79,0,Not Applicable,
Female,36,No,Yes,1,Yes,Los Angeles,Yes,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,No,Mailed check,50.85,12.88,239.55,0.0,0,51.52,291.07,4,Yes,22,Yes,No Offer,Yes,1,1,5386,Churned,90,1,Dissatisfaction,Product dissatisfaction
Male,55,No,Yes,2,Yes,Hayward,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),20.65,11.15,1218.45,0.0,0,691.3,1909.75,62,No,0,No,Offer B,Yes,9,5,6403,Stayed,40,0,Not Applicable,
Female,29,No,No,0,No,Riverdale,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Fiber Optic,One Year,Yes,Electronic check,95.55,4.48,3692.85,0.0,0,174.72,3867.57,39,No,71,Yes,Offer C,No,0,1,2767,Churned,73,1,Attitude,Attitude of service provider
Male,27,No,Yes,2,Yes,Trinidad,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Mailed check,20.4,27.5,20.4,0.0,0,27.5,47.9,1,No,0,No,No Offer,Yes,3,4,4540,Joined,54,0,Not Applicable,
Female,56,No,No,0,Yes,West Covina,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Cable,One Year,Yes,Bank transfer (automatic),60.5,47.18,3145.15,0.0,0,2406.18,5551.33,51,No,12,Yes,Offer B,Yes,4,3,4207,Stayed,63,0,Not Applicable,
Male,20,No,No,0,No,Escondido,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),103.25,44.5,6017.65,0.0,0,2581.0,8598.65,58,Yes,47,Yes,Offer B,No,0,1,6105,Churned,74,1,Competitor,Competitor made better offer
Male,44,No,Yes,2,No,La Mesa,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,81.85,1.27,3141.7,0.0,0,48.26,3189.96,38,Yes,13,Yes,No Offer,No,0,5,3571,Stayed,55,0,Not Applicable,
Male,29,No,No,0,No,Poway,Yes,Yes,Yes,No,No,No,No,No,No,Fiber Optic,One Year,No,Bank transfer (automatic),80.1,25.71,2603.3,0.0,0,848.43,3451.73,33,Yes,48,Yes,No Offer,No,0,4,3957,Stayed,54,0,Not Applicable,
Male,20,No,No,0,No,Torrance,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,19.4,31.02,415.4,0.0,0,620.4,1035.8,20,No,0,No,Offer D,No,0,3,4958,Stayed,32,0,Not Applicable,
Female,58,No,No,0,Yes,Castella,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,DSL,Two Year,No,Bank transfer (automatic),80.55,28.52,2471.6,0.0,0,884.12,3355.72,31,Yes,2,Yes,Offer C,Yes,9,4,3491,Stayed,24,0,Not Applicable,
Female,57,No,No,0,Yes,The Sea Ranch,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),105.85,28.79,2239.65,0.0,0,575.8,2815.45,20,Yes,16,Yes,No Offer,Yes,3,2,4223,Churned,84,1,Dissatisfaction,Service dissatisfaction
Male,47,No,Yes,2,Yes,San Jose,Yes,Yes,Yes,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Electronic check,81.05,49.49,5135.35,0.0,0,3167.36,8302.71,64,No,12,Yes,No Offer,Yes,4,3,5168,Stayed,48,0,Not Applicable,
Male,34,No,No,0,Yes,Big Bear Lake,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Cable,Two Year,No,Credit card (automatic),79.55,45.05,5810.9,0.0,0,3243.6,9054.5,72,Yes,9,Yes,Offer A,Yes,3,3,4766,Stayed,55,0,Not Applicable,
Male,22,No,Yes,3,Yes,Covelo,Yes,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic,One Year,Yes,Electronic check,90.35,30.46,767.9,0.0,0,274.14,1042.04,9,Yes,82,Yes,Offer E,Yes,9,3,2993,Stayed,27,0,Not Applicable,
Male,24,No,No,0,No,Sun Valley,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,No,Electronic check,104.0,45.69,6363.45,0.0,0,2787.09,9150.54,61,Yes,48,Yes,Offer B,No,0,3,4344,Stayed,22,0,Not Applicable,
Male,63,No,No,0,No,Salinas,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Mailed check,85.15,32.02,4461.85,0.0,0,1665.04,6126.89,52,Yes,28,Yes,No Offer,No,0,3,4322,Stayed,69,0,Not Applicable,
Female,29,No,Yes,2,Yes,Live Oak,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,Two Year,No,Bank transfer (automatic),46.25,0.0,3121.4,0.0,0,0.0,3121.4,69,No,69,Yes,No Offer,Yes,10,4,4180,Stayed,33,0,Not Applicable,
Female,33,No,No,0,No,Burbank,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,79.15,18.0,79.15,0.0,60,18.0,157.15,1,Yes,23,No,Offer E,No,0,4,2742,Joined,57,0,Not Applicable,
Male,45,No,Yes,1,Yes,Cypress,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),72.95,34.13,4953.25,0.0,0,2320.84,7274.09,68,No,25,Yes,No Offer,Yes,4,4,4499,Stayed,27,0,Not Applicable,
Male,48,No,No,0,Yes,Tahoe City,Yes,Yes,No,No,No,Yes,Yes,No,No,DSL,Month-to-Month,Yes,Credit card (automatic),66.6,22.14,979.5,0.0,0,309.96,1289.46,14,Yes,11,Yes,No Offer,Yes,3,3,3516,Stayed,36,0,Not Applicable,
Male,28,No,No,0,No,San Diego,No,Yes,No,No,Yes,Yes,No,No,No,DSL,One Year,Yes,Credit card (automatic),35.5,0.0,249.55,0.0,0,0.0,249.55,7,No,48,Yes,Offer E,No,0,3,5124,Stayed,48,0,Not Applicable,
Female,75,Yes,No,0,No,Campo,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),70.2,9.55,115.95,0.0,0,19.1,135.05,2,No,28,Yes,No Offer,No,0,1,2767,Churned,67,1,Competitor,Competitor offered more data
Female,53,No,No,0,No,Birds Landing,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Electronic check,70.1,1.15,70.1,0.0,0,1.15,71.25,1,No,23,Yes,No Offer,No,0,4,2475,Joined,74,0,Not Applicable,
Male,46,No,Yes,2,Yes,San Jose,Yes,No,No,No,No,No,No,No,No,No,Two Year,Yes,Mailed check,24.95,16.85,1222.25,0.0,0,859.35,2081.6,51,Yes,0,No,No Offer,Yes,7,4,5461,Stayed,37,0,Not Applicable,
Female,68,Yes,No,0,Yes,Hickman,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,99.6,18.91,347.65,25.79,0,75.64,397.5,4,Yes,20,Yes,No Offer,Yes,1,1,4708,Churned,77,1,Dissatisfaction,Network reliability
Male,19,No,Yes,3,Yes,San Francisco,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,19.35,46.47,278.85,0.0,0,697.05,975.9,15,No,0,No,No Offer,Yes,2,3,2742,Stayed,54,0,Not Applicable,
Female,21,No,No,0,Yes,Temecula,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,No,Credit card (automatic),109.15,11.85,7789.6,0.0,0,853.2,8642.8,72,Yes,82,Yes,Offer A,Yes,2,4,4807,Stayed,46,0,Not Applicable,
Male,27,No,No,0,Yes,San Carlos,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),94.4,17.58,4914.9,0.0,0,879.0,5793.9,50,Yes,47,Yes,Offer B,Yes,1,4,5548,Stayed,21,0,Not Applicable,
Female,77,Yes,No,0,Yes,Granada Hills,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Fiber Optic,Month-to-Month,No,Credit card (automatic),94.0,23.05,5438.95,0.0,0,1313.85,6752.8,57,Yes,30,Yes,No Offer,Yes,1,5,6015,Stayed,49,0,Not Applicable,
Female,46,No,No,0,Yes,Ventura,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),95.1,32.72,4060.55,0.0,0,1439.68,5500.23,44,Yes,6,Yes,Offer B,Yes,10,3,2221,Stayed,20,0,Not Applicable,
Female,42,No,Yes,3,Yes,Roseville,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,110.8,13.25,6840.95,0.0,0,821.5,7662.45,62,Yes,57,Yes,Offer B,Yes,5,4,4306,Stayed,49,0,Not Applicable,
Female,75,Yes,No,0,No,Inglewood,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,74.3,35.07,1096.25,0.0,0,490.98,1587.23,14,Yes,10,Yes,No Offer,No,0,3,5342,Churned,71,1,Dissatisfaction,Service dissatisfaction
Female,44,No,No,0,No,Rancho Cucamonga,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Cable,Month-to-Month,Yes,Electronic check,78.5,3.34,571.05,0.0,0,23.38,594.43,7,No,13,Yes,Offer E,No,0,4,3601,Stayed,47,0,Not Applicable,
Female,48,No,No,0,Yes,Milford,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,110.75,39.74,7751.7,0.0,0,2861.28,10612.98,72,Yes,5,Yes,No Offer,Yes,1,4,4848,Stayed,34,0,Not Applicable,
Male,39,No,No,0,No,Culver City,Yes,Yes,No,No,No,Yes,No,No,No,Cable,Month-to-Month,No,Mailed check,49.05,25.77,49.05,0.0,0,25.77,74.82,1,No,5,Yes,No Offer,No,0,3,3178,Joined,30,0,Not Applicable,
Male,78,Yes,No,0,Yes,Earp,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,Yes,Bank transfer (automatic),63.1,0.0,4685.55,0.0,0,0.0,4685.55,72,No,26,Yes,Offer A,Yes,8,3,4933,Stayed,56,0,Not Applicable,
Female,38,No,No,0,No,Sun City,Yes,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Mailed check,45.4,49.33,45.4,0.0,0,49.33,94.73,1,No,21,Yes,Offer E,No,0,3,4916,Joined,50,0,Not Applicable,
Female,63,No,No,0,No,San Diego,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),75.1,26.52,270.7,0.0,0,79.56,350.26,3,Yes,10,Yes,Offer E,No,0,3,4965,Churned,92,1,Competitor,Competitor made better offer
Female,46,No,No,0,No,El Centro,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Bank transfer (automatic),19.75,43.8,624.15,0.0,0,1401.6,2025.75,32,No,0,No,No Offer,No,0,4,4691,Stayed,46,0,Not Applicable,
Female,70,Yes,No,0,Yes,Camptonville,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,99.2,22.0,7213.75,0.0,0,1562.0,8775.75,71,No,27,Yes,No Offer,Yes,6,4,4951,Stayed,23,0,Not Applicable,
Male,69,Yes,No,0,Yes,La Grange,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,99.0,10.4,6017.9,0.0,150,624.0,6791.9,60,Yes,5,No,Offer B,Yes,5,3,4763,Stayed,40,0,Not Applicable,
Female,65,Yes,No,0,No,Brookdale,Yes,Yes,No,No,No,No,No,No,No,DSL,Two Year,No,Mailed check,48.75,31.13,179.85,0.0,0,124.52,304.37,4,Yes,15,Yes,No Offer,No,0,3,3048,Stayed,25,0,Not Applicable,
Male,27,No,No,0,Yes,Cazadero,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),95.65,8.94,5088.4,11.8,0,464.88,5541.48,52,Yes,85,Yes,No Offer,Yes,1,3,4465,Stayed,45,0,Not Applicable,
Female,42,No,No,0,No,Monterey Park,Yes,Yes,Yes,No,Yes,Yes,No,No,No,DSL,One Year,No,Credit card (automatic),58.0,14.46,1734.5,0.0,0,419.34,2153.84,29,No,25,Yes,No Offer,No,0,3,2810,Stayed,63,0,Not Applicable,
Male,23,No,No,0,Yes,Clipper Mills,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Credit card (automatic),99.25,33.93,4920.8,0.0,0,1662.57,6583.37,49,No,27,Yes,Offer B,Yes,4,3,4995,Stayed,43,0,Not Applicable,
Male,19,No,Yes,2,Yes,Temple City,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Mailed check,60.3,0.0,2448.5,0.0,0,0.0,2448.5,40,No,26,Yes,No Offer,Yes,3,4,3724,Stayed,28,0,Not Applicable,
Female,39,No,No,0,Yes,Piercy,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Credit card (automatic),100.75,3.72,5985.0,0.0,0,212.04,6197.04,57,Yes,11,Yes,Offer B,Yes,5,3,6354,Stayed,31,0,Not Applicable,
