gender,age,senior_citizen,dependents,number_of_dependents,city,phone_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_charges,avg_monthly_long_distance_charges,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,number_of_referrals,satisfaction_score,cltv,churn_score,churn_value
Male,39,No,No,0,Winton,Yes,No,No,No,No,No,No,No,No,One Year,No,Mailed check,19.45,22.31,13,No,0,No,Offer D,0,5,3799,37,0
Female,49,No,Yes,1,Dublin,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,No,Bank transfer (automatic),110.3,21.16,64,Yes,23,Yes,Offer B,7,3,5574,45,0
Male,60,No,No,0,Bakersfield,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,80.35,49.63,3,No,26,Yes,Offer E,0,5,4203,51,0
Male,19,No,Yes,1,Mount Hamilton,Yes,Yes,Yes,No,No,No,No,No,Fiber Optic,One Year,Yes,Credit card (automatic),85.45,31.89,71,Yes,30,Yes,No Offer,0,4,4777,48,0
Female,63,No,No,0,Los Angeles,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank transfer (automatic),20.15,34.79,9,No,0,No,Offer E,0,4,3772,27,0
Female,49,No,No,0,Fremont,Yes,Yes,Yes,No,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,83.4,43.06,1,No,9,Yes,No Offer,0,3,5960,26,0
Male,28,No,No,0,San Gabriel,Yes,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,20.5,37.01,3,No,0,No,No Offer,0,5,5296,35,0
Male,61,No,No,0,Rancho Cucamonga,No,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,One Year,Yes,Electronic check,60.45,0.0,53,No,13,Yes,No Offer,1,2,5650,91,1
Female,56,No,No,0,Palos Verdes Peninsula,Yes,No,No,No,No,No,No,No,No,Two Year,Yes,Mailed check,19.95,30.47,46,No,0,No,No Offer,1,5,5480,80,0
Male,30,No,Yes,2,Redding,Yes,No,Yes,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),80.3,18.88,63,No,48,No,Offer B,9,4,5157,66,0
Male,29,No,No,0,Los Banos,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),108.55,31.97,71,Yes,73,Yes,Offer A,10,3,4111,58,0
Female,67,Yes,No,0,Bonsall,Yes,No,No,No,No,No,No,No,Fiber Optic,One Year,Yes,Electronic check,69.35,9.56,5,No,13,Yes,Offer E,0,4,5437,41,0
Female,25,No,Yes,3,Irvine,Yes,No,No,No,No,No,No,No,No,Two Year,Yes,Bank transfer (automatic),25.3,34.03,65,Yes,0,No,No Offer,9,4,4533,51,0
Male,48,No,No,0,Riverside,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,100.3,25.69,42,Yes,13,Yes,No Offer,0,5,3286,33,0
Female,48,No,No,0,Lebec,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,74.75,12.5,3,No,4,Yes,No Offer,0,3,3319,21,0
Male,28,No,No,0,Mt Baldy,Yes,Yes,No,No,Yes,No,No,No,DSL,Month-to-Month,No,Electronic check,54.95,30.07,24,No,69,Yes,No Offer,0,3,3407,55,0
Male,57,No,Yes,2,Ventura,Yes,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,20.55,20.63,66,No,0,No,No Offer,0,4,4101,74,0
Female,42,No,No,0,Traver,Yes,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),19.8,13.93,25,No,0,No,Offer C,0,3,3875,20,0
Female,45,No,No,0,San Diego,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Fiber Optic,One Year,Yes,Credit card (automatic),99.75,20.53,56,Yes,19,Yes,No Offer,9,4,5926,68,0
Male,79,Yes,No,0,White Water,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),105.1,29.15,52,Yes,9,Yes,No Offer,4,4,4621,47,0
Female,47,No,Yes,2,Los Angeles,Yes,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,25.1,35.86,23,Yes,0,No,No Offer,4,5,2267,67,0
Female,56,No,No,0,Sequoia National Park,Yes,No,No,No,No,No,No,No,No,One Year,Yes,Mailed check,26.8,3.6,25,Yes,0,No,No Offer,10,5,3428,78,0
Female,33,No,No,0,Camptonville,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,101.35,41.53,32,Yes,28,Yes,No Offer,0,5,4341,72,0
Female,21,No,No,0,Los Angeles,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Electronic check,50.15,14.26,16,No,53,Yes,No Offer,0,2,4254,69,1
Female,74,Yes,Yes,3,Live Oak,Yes,No,Yes,Yes,No,No,Yes,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),88.45,2.03,23,No,53,Yes,No Offer,4,5,3937,70,0
Male,22,No,No,0,Orick,No,Yes,No,No,Yes,Yes,Yes,Yes,Cable,One Year,No,Credit card (automatic),54.55,0.0,26,No,82,Yes,Offer C,0,4,4296,54,0
Female,56,No,No,0,Chilcoot,Yes,No,No,No,No,No,No,No,No,One Year,Yes,Bank transfer (automatic),20.05,22.1,49,No,0,No,No Offer,3,5,5579,72,0
Male,46,No,Yes,3,Hat Creek,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,20.05,7.66,1,No,0,No,No Offer,0,3,4221,27,0
Male,68,Yes,No,0,Gasquet,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,70.25,2.27,5,No,17,Yes,No Offer,0,2,3684,89,1
Female,36,No,No,0,Sacramento,Yes,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),19.4,12.62,50,No,0,No,No Offer,0,5,6233,41,0
Male,52,No,No,0,Huntington Beach,No,Yes,No,No,Yes,Yes,No,No,DSL,Month-to-Month,Yes,Credit card (automatic),45.55,0.0,13,No,17,Yes,Offer D,0,3,4856,74,1
Female,64,No,Yes,1,Hayward,Yes,No,No,No,No,No,No,No,No,One Year,No,Mailed check,19.9,21.91,28,No,0,No,Offer C,9,4,2987,41,0
Female,25,No,Yes,1,Buena Park,Yes,No,No,No,No,No,No,No,No,One Year,No,Credit card (automatic),19.45,45.64,49,No,0,No,No Offer,0,5,4170,34,0
Female,51,No,No,0,Rancho Mirage,Yes,No,No,Yes,Yes,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),95.05,7.42,18,Yes,12,Yes,No Offer,0,4,4524,60,0
Female,26,No,Yes,1,Santa Cruz,Yes,Yes,No,Yes,No,Yes,No,Yes,Cable,Two Year,Yes,Bank transfer (automatic),71.45,38.99,72,Yes,73,Yes,Offer A,8,3,5656,30,0
Female,43,No,Yes,2,Bakersfield,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,95.25,1.6,37,Yes,11,Yes,No Offer,0,4,2969,29,0
Male,80,Yes,No,0,El Cerrito,No,Yes,No,No,No,No,No,No,DSL,One Year,No,Bank transfer (automatic),29.8,0.0,7,No,13,Yes,Offer E,10,3,2587,69,0
Male,64,No,No,0,Sequoia National Park,Yes,No,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Bank transfer (automatic),81.4,1.59,45,Yes,19,Yes,Offer B,4,5,5602,55,0
Male,53,No,No,0,San Marino,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Bank transfer (automatic),45.0,29.52,19,No,5,Yes,No Offer,0,3,4519,62,0
Male,42,No,No,0,Fairfax,Yes,No,No,No,No,No,No,No,No,One Year,Yes,Mailed check,19.8,46.12,29,No,0,No,No Offer,0,4,5696,69,0
Male,37,No,Yes,1,Jamestown,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,No,Credit card (automatic),103.9,43.08,61,No,19,Yes,Offer B,3,5,4079,28,0
Male,46,No,No,0,Altadena,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Electronic check,45.9,33.93,4,No,20,Yes,Offer E,0,3,3200,39,0
Female,22,No,No,0,Los Angeles,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,103.65,23.95,38,Yes,27,No,Offer C,0,5,2511,47,0
Female,52,No,No,0,Kirkwood,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Electronic check,19.9,26.9,2,No,0,No,Offer E,0,4,2822,40,0
Male,23,No,No,0,Caspar,Yes,No,No,No,No,No,No,Yes,Cable,Month-to-Month,No,Mailed check,45.05,48.03,1,No,73,Yes,No Offer,0,1,4094,91,1
Female,60,No,No,0,Gerber,No,Yes,Yes,Yes,Yes,No,No,No,DSL,One Year,No,Mailed check,45.9,0.0,15,No,25,Yes,Offer D,0,3,3572,51,0
Male,30,No,No,0,Martinez,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,108.05,49.42,71,Yes,53,Yes,Offer A,0,1,5200,81,1
Male,40,No,No,0,Rough And Ready,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,84.1,38.37,52,No,14,Yes,No Offer,1,1,6216,75,1
Female,60,No,No,0,Rancho Mirage,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,20.65,24.71,2,No,0,No,Offer E,0,2,3845,83,1
Male,77,Yes,No,0,San Diego,Yes,No,No,Yes,No,Yes,Yes,Yes,Cable,Month-to-Month,Yes,Electronic check,93.15,16.1,24,No,12,Yes,Offer C,1,2,2212,73,1
Male,39,No,No,0,San Diego,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),75.35,19.66,43,Yes,28,Yes,Offer B,0,5,4898,33,0
Male,27,No,No,0,Hopland,Yes,No,No,No,No,No,No,Yes,Cable,Month-to-Month,No,Bank transfer (automatic),46.05,29.69,2,No,52,No,Offer E,0,3,4662,72,1
Male,21,No,No,0,San Diego,Yes,No,Yes,No,No,No,No,No,Cable,Month-to-Month,Yes,Mailed check,49.7,3.72,24,No,59,Yes,Offer C,0,3,2911,38,0
Male,78,Yes,No,0,Westport,Yes,No,No,Yes,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,99.8,22.56,41,Yes,15,Yes,No Offer,0,1,4726,76,1
Female,49,No,No,0,Fallbrook,Yes,No,No,Yes,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,87.25,29.18,14,Yes,19,Yes,No Offer,1,2,4786,78,1
Female,57,No,No,0,Sheridan,Yes,No,Yes,Yes,Yes,No,Yes,Yes,DSL,Two Year,Yes,Mailed check,68.3,23.29,64,No,25,Yes,No Offer,9,5,5425,31,0
Male,38,No,No,0,Torrance,Yes,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),19.4,49.5,72,No,0,No,Offer A,1,5,5234,23,0
Female,29,No,No,0,Tahoe Vista,Yes,No,Yes,No,Yes,No,No,No,Cable,Month-to-Month,Yes,Mailed check,56.15,1.31,27,No,53,Yes,No Offer,0,3,3056,69,0
Male,79,Yes,No,0,Descanso,Yes,No,No,Yes,Yes,Yes,Yes,No,DSL,One Year,Yes,Electronic check,73.0,3.04,35,No,18,Yes,No Offer,0,4,2715,59,0
Male,20,No,Yes,1,Eureka,Yes,No,No,No,Yes,No,Yes,Yes,Cable,Month-to-Month,Yes,Mailed check,59.55,41.39,1,No,48,Yes,No Offer,0,3,5824,47,0
Female,62,No,No,0,Platina,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Electronic check,68.65,12.4,1,No,28,Yes,Offer E,0,2,3052,91,1
Male,74,Yes,No,0,Santa Rosa,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Mailed check,89.55,39.12,43,No,6,Yes,No Offer,0,1,3802,73,1
Female,69,Yes,No,0,Vallejo,Yes,No,No,No,No,Yes,Yes,No,Fiber Optic,One Year,Yes,Credit card (automatic),95.85,30.09,53,Yes,12,Yes,No Offer,1,3,5325,65,0
Female,50,No,No,0,Rio Oso,Yes,No,No,Yes,No,No,No,No,DSL,One Year,Yes,Mailed check,55.85,24.31,17,Yes,21,Yes,No Offer,0,2,5472,76,1
Female,67,Yes,No,0,Mc Kittrick,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),85.8,29.29,20,Yes,15,Yes,Offer D,0,1,3336,75,1
Male,33,No,No,0,Loma Mar,Yes,No,No,No,No,No,No,No,No,One Year,No,Mailed check,19.15,10.54,6,No,0,No,No Offer,0,5,5322,41,0
Male,47,No,Yes,3,San Leandro,No,No,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Electronic check,24.7,0.0,1,No,21,No,No Offer,0,4,3518,29,0
Female,52,No,No,0,San Diego,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,No,Electronic check,89.65,23.45,61,Yes,8,Yes,No Offer,0,3,6149,48,0
Female,74,Yes,No,0,Anaheim,Yes,No,No,Yes,No,Yes,No,No,Cable,Month-to-Month,Yes,Electronic check,89.2,48.35,4,Yes,24,Yes,No Offer,0,1,5808,74,1
Female,57,No,No,0,Dana Point,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,19.55,40.63,1,No,0,No,No Offer,0,4,3968,80,0
Male,24,No,No,0,Vernalis,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,No,Electronic check,80.5,35.77,1,No,69,Yes,No Offer,0,1,2734,85,1
Female,50,No,Yes,2,Escondido,Yes,No,Yes,No,Yes,No,No,No,Fiber Optic,One Year,Yes,Bank transfer (automatic),83.65,15.94,68,Yes,29,Yes,Offer A,1,4,5958,43,0
Male,49,No,No,0,Modesto,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,79.25,19.98,1,No,5,Yes,Offer E,0,1,5533,83,1
Female,54,No,No,0,San Diego,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Month-to-Month,No,Mailed check,80.6,5.32,2,Yes,20,Yes,No Offer,0,1,2683,92,1
Female,41,No,No,0,Sutter Creek,Yes,No,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),89.3,14.12,45,Yes,24,Yes,Offer B,0,2,4880,90,1
Female,64,No,No,0,Temecula,Yes,No,No,Yes,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,84.85,2.03,40,Yes,19,Yes,Offer B,1,2,5764,91,1
Female,38,No,No,0,Herlong,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,105.1,2.82,34,No,2,Yes,No Offer,0,5,3941,68,0
Female,49,No,No,0,Cerritos,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,85.95,29.21,13,Yes,22,Yes,No Offer,0,5,5886,58,0
Female,64,No,No,0,Shaver Lake,Yes,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed check,20.25,10.71,1,No,0,No,Offer E,0,2,2783,85,1
Female,36,No,Yes,1,Camp Nelson,No,No,No,No,Yes,Yes,No,No,DSL,One Year,No,Mailed check,40.9,0.0,35,No,30,Yes,No Offer,6,3,5691,78,0
Male,63,No,Yes,2,Sacramento,Yes,No,No,No,No,No,No,No,No,One Year,No,Electronic check,19.9,24.23,35,No,0,No,No Offer,7,3,2334,30,0
Male,75,Yes,No,0,Temecula,Yes,Yes,Yes,Yes,No,No,Yes,No,Fiber Optic,Two Year,Yes,Credit card (automatic),102.65,28.5,72,Yes,5,Yes,No Offer,5,3,4680,66,0
Male,69,Yes,No,0,Van Nuys,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Two Year,Yes,Electronic check,74.2,7.29,2,No,14,Yes,Offer E,1,4,3170,32,0
Female,27,No,No,0,San Carlos,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank transfer (automatic),19.45,35.81,12,No,0,No,No Offer,0,4,4862,76,0
Male,64,No,No,0,Willows,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Cable,Two Year,Yes,Bank transfer (automatic),75.75,44.33,69,No,18,Yes,Offer A,4,4,5839,75,0
Male,68,Yes,No,0,Compton,Yes,No,Yes,No,Yes,Yes,Yes,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),104.9,32.12,57,Yes,15,No,No Offer,0,5,5838,75,0
Female,61,No,No,0,Morro Bay,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,70.3,10.43,35,No,4,No,Offer C,4,3,5413,79,1
Male,47,No,Yes,3,Tecate,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,No,Bank transfer (automatic),86.9,26.35,69,Yes,53,Yes,No Offer,9,3,4667,49,0
Female,50,No,No,0,Big Bend,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,107.5,1.93,63,Yes,21,No,No Offer,1,3,6144,96,1
Female,58,No,Yes,3,Stinson Beach,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),45.2,38.94,41,No,28,Yes,No Offer,0,5,4418,42,0
Female,47,No,Yes,3,Palmdale,Yes,No,No,No,No,No,No,No,No,Two Year,Yes,Bank transfer (automatic),21.3,3.95,47,No,0,No,No Offer,5,4,2861,30,0
Male,31,No,No,0,Mckinleyville,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),117.8,34.87,72,Yes,8,Yes,No Offer,1,2,4432,91,1
Female,26,No,No,0,Salyer,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,DSL,One Year,No,Credit card (automatic),79.85,1.94,59,Yes,73,Yes,Offer B,0,3,6041,64,0
Female,20,No,Yes,3,San Juan Capistrano,Yes,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,19.35,20.0,18,No,0,No,No Offer,5,5,2269,36,0
Female,19,No,No,0,San Diego,No,No,No,No,No,Yes,No,No,Cable,Month-to-Month,Yes,Bank transfer (automatic),34.0,0.0,25,No,82,Yes,Offer C,1,1,5024,93,1
Male,46,No,No,0,Guadalupe,Yes,No,Yes,Yes,No,No,No,No,Fiber Optic,One Year,No,Electronic check,80.8,12.97,40,No,24,Yes,Offer B,5,3,3387,26,0
Male,31,No,No,0,Winterhaven,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,69.8,11.19,2,No,14,No,No Offer,0,3,3527,26,0
Female,30,No,No,0,Santa Ana,No,Yes,No,Yes,No,Yes,Yes,Yes,Cable,One Year,Yes,Electronic check,55.95,0.0,21,No,69,No,No Offer,1,1,5531,74,1
Male,36,No,Yes,1,Ranchita,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Credit card (automatic),101.05,34.62,68,Yes,18,Yes,Offer A,10,4,5570,32,0
Female,73,Yes,No,0,Vista,Yes,No,No,No,No,No,No,No,No,Two Year,Yes,Credit card (automatic),19.55,15.9,70,No,0,No,Offer A,2,3,5209,22,0
Male,48,No,Yes,2,Hemet,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,No,Electronic check,44.55,41.1,1,No,18,Yes,No Offer,1,4,3408,48,0
Female,24,No,No,0,Potrero,Yes,Yes,Yes,No,No,No,No,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),84.05,16.15,72,Yes,52,Yes,Offer A,8,4,5515,47,0
Female,61,No,No,0,Moss Beach,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),70.4,7.49,2,No,14,Yes,No Offer,9,3,5748,39,0
Female,21,No,No,0,Duarte,Yes,No,No,No,No,No,No,No,No,One Year,No,Mailed check,20.6,1.92,11,No,0,No,No Offer,7,3,4047,29,0
Female,40,No,Yes,2,Fullerton,Yes,No,No,No,No,No,No,No,No,Two Year,Yes,Credit card (automatic),24.95,29.06,56,Yes,0,No,No Offer,9,5,5243,76,0
Female,41,No,No,0,Pleasanton,No,No,Yes,No,Yes,No,No,No,Cable,Month-to-Month,Yes,Bank transfer (automatic),34.85,0.0,36,No,2,Yes,Offer C,0,4,4452,50,0
Male,42,No,No,0,Stirling City,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,One Year,Yes,Bank transfer (automatic),90.6,44.52,37,Yes,6,Yes,No Offer,0,4,2546,26,0
Female,50,No,No,0,Santa Monica,No,Yes,No,Yes,No,Yes,Yes,Yes,DSL,Month-to-Month,No,Electronic check,55.9,0.0,39,No,13,Yes,No Offer,3,1,5632,67,1
Male,29,No,Yes,3,Fontana,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),80.55,41.08,18,Yes,48,Yes,Offer D,0,5,5334,37,0
Male,29,No,No,0,Reseda,Yes,Yes,No,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,84.75,11.42,19,Yes,41,Yes,No Offer,0,4,5157,24,0
Female,36,No,No,0,Downieville,Yes,No,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),76.65,24.09,4,No,17,Yes,No Offer,0,1,4580,90,1
Male,46,No,Yes,1,Lebec,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),69.95,11.45,1,No,14,Yes,No Offer,10,3,5133,62,0
Female,76,Yes,No,0,Glendale,Yes,Yes,No,No,No,No,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,83.45,3.42,38,No,15,Yes,No Offer,0,3,2768,49,0
Male,38,No,Yes,2,La Verne,Yes,No,No,No,No,No,No,No,No,One Year,Yes,Mailed check,19.7,46.23,0,No,0,No,Offer E,5,5,4890,69,0
Male,28,No,No,0,Orland,Yes,Yes,No,No,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,100.55,46.9,56,Yes,48,Yes,No Offer,7,3,4847,61,0
Female,37,No,No,0,Chula Vista,Yes,No,Yes,Yes,No,Yes,No,No,DSL,One Year,Yes,Credit card (automatic),68.95,22.64,30,Yes,18,Yes,Offer C,0,5,4403,30,0
Male,64,No,Yes,2,Sonora,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,No,Credit card (automatic),88.7,28.63,72,Yes,19,Yes,Offer A,1,4,4641,46,0
Female,26,No,No,0,Angelus Oaks,Yes,No,No,No,No,No,No,No,No,One Year,Yes,Bank transfer (automatic),20.2,5.27,8,No,0,No,No Offer,0,4,5066,38,0
Female,64,No,Yes,1,Ramona,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),104.05,28.36,53,Yes,17,Yes,Offer B,1,3,4190,43,0
Male,44,No,No,0,Scott Bar,Yes,No,Yes,Yes,No,Yes,No,No,Fiber Optic,One Year,Yes,Electronic check,94.65,10.13,46,Yes,3,Yes,Offer B,1,4,4120,79,0
Female,31,No,No,0,Cypress,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,20.7,7.72,6,No,0,No,Offer E,0,5,5346,47,0
Female,22,No,No,0,Independence,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,94.2,38.83,8,No,76,Yes,Offer E,1,1,2939,80,1
Female,21,No,No,0,San Diego,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,98.25,19.16,56,Yes,48,No,No Offer,1,1,4886,90,1
Female,29,No,No,0,Riverside,Yes,Yes,No,Yes,Yes,No,No,No,Cable,Month-to-Month,No,Credit card (automatic),65.25,31.14,31,Yes,52,No,Offer C,0,1,4403,68,1
Male,76,Yes,No,0,Napa,Yes,No,Yes,No,No,Yes,No,No,DSL,Month-to-Month,Yes,Electronic check,59.9,49.9,13,No,30,Yes,No Offer,0,5,5254,58,0
Male,59,No,Yes,3,Vallejo,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),110.1,11.5,40,Yes,22,Yes,Offer B,6,3,2283,39,0
Female,71,Yes,No,0,Murrieta,Yes,Yes,Yes,Yes,Yes,No,No,No,Fiber Optic,One Year,Yes,Electronic check,94.05,19.14,59,Yes,13,No,No Offer,0,3,5061,30,0
Female,41,No,Yes,3,Kelseyville,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,No,Mailed check,103.05,47.48,50,No,27,Yes,No Offer,7,4,5905,72,0
Female,53,No,Yes,3,Carlsbad,No,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Mailed check,24.4,0.0,2,No,52,Yes,No Offer,0,3,2635,91,1
Female,56,No,No,0,Ballico,Yes,Yes,No,Yes,No,Yes,Yes,Yes,DSL,Two Year,No,Mailed check,79.2,46.83,46,Yes,2,Yes,Offer B,0,4,2007,63,0
Female,45,No,Yes,3,Cedar Glen,Yes,Yes,No,No,No,No,Yes,Yes,DSL,Month-to-Month,No,Electronic check,64.8,42.45,18,Yes,28,Yes,Offer D,0,4,2466,37,0
Female,59,No,No,0,Fallbrook,No,No,No,Yes,Yes,No,No,No,Cable,Month-to-Month,Yes,Mailed check,33.45,0.0,35,No,12,No,Offer C,0,5,2553,66,0
Male,47,No,Yes,2,Buena Park,Yes,Yes,No,No,No,No,No,No,Cable,Month-to-Month,No,Mailed check,50.6,11.86,1,No,13,Yes,No Offer,0,1,3677,82,1
Male,28,No,No,0,Sacramento,Yes,No,No,No,Yes,No,No,Yes,Fiber Optic,Month-to-Month,No,Credit card (automatic),80.8,42.33,4,Yes,76,Yes,No Offer,0,2,5436,72,1
Male,30,No,No,0,Sacramento,Yes,No,Yes,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,85.3,36.52,5,Yes,27,Yes,No Offer,0,1,2264,81,1
Female,64,No,No,0,Los Angeles,Yes,Yes,No,Yes,Yes,No,No,No,Cable,Two Year,Yes,Credit card (automatic),64.15,39.88,69,Yes,17,No,No Offer,7,3,5128,62,0
Male,41,No,No,0,Apple Valley,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,80.85,16.61,17,No,3,Yes,No Offer,1,1,5174,77,1
Female,48,No,No,0,Topanga,Yes,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank transfer (automatic),20.2,43.52,1,No,0,No,No Offer,0,2,3061,91,1
Male,71,Yes,No,0,Pioneer,Yes,Yes,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,78.85,2.05,24,Yes,22,Yes,No Offer,1,1,3079,65,1
Female,69,Yes,No,0,Vallejo,Yes,No,No,No,No,Yes,No,No,Fiber Optic,One Year,No,Electronic check,84.45,19.52,62,Yes,3,Yes,No Offer,0,4,4166,60,0
Male,49,No,No,0,Fallbrook,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Bank transfer (automatic),45.4,11.12,12,No,14,Yes,No Offer,0,3,2887,68,1
Male,45,No,No,0,Sacramento,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Electronic check,20.85,35.32,23,No,0,No,No Offer,0,5,4263,53,0
